gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Male,30,Yes,2,4,5,6,1,3,7,Yes,Returns,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,22,Yes,2,4,4,4,3,3,6,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Education,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Male,30,Yes,4,3,6,6,6,1,4,Yes,Returns,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Television
Female,26,Yes,3,4,6,3,4,2,5,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,25,Yes,5,3,6,6,3,2,5,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,High Interest Rates,Financial Consultants
Male,27,Yes,4,2,6,6,5,2,4,Yes,Risk,Growth,Savings for Future,1-3 years,Weekly,30%-40%,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,Risk Free,Financial Consultants
Male,29,Yes,3,3,6,3,5,2,7,Yes,Returns,Growth,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,34,Yes,3,2,5,3,7,2,6,Yes,Returns,Income,Savings for Future,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,33,Yes,3,4,5,6,3,2,5,Yes,Risk,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Dividend,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,33,Yes,1,3,7,6,5,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,21,Yes,1,1,6,6,3,4,6,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Education,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,21,Yes,1,2,3,6,7,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,29,Yes,2,3,5,7,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,33,Yes,3,3,7,4,6,2,4,Yes,Risk,Growth,Wealth Creation,3-5 years,Monthly,30%-40%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,23,Yes,3,5,6,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,29,Yes,2,4,6,6,5,3,4,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,High Interest Rates,Financial Consultants
Male,23,Yes,1,4,5,5,1,5,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,26,Yes,6,3,5,6,2,2,5,Yes,Returns,Growth,Wealth Creation,1-3 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,24,Yes,4,3,5,5,1,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,30,Yes,2,2,6,4,6,3,5,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Newspapers and Magazines
